"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2667","User login with correct email and password","LMS system","Sun Dec 07 09:27:11 UTC 2025","passed","Sun Dec 07 09:27:14 UTC 2025","Authorization","Authentication","",""
"","1540","User login with wrong email or password","LMS system","Sun Dec 07 09:27:11 UTC 2025","passed","Sun Dec 07 09:27:13 UTC 2025","Authorization","Authentication","",""
"","1599","User login with wrong email or password","LMS system","Sun Dec 07 09:27:13 UTC 2025","passed","Sun Dec 07 09:27:15 UTC 2025","Authorization","Authentication","",""
"","1262","Check displaying of empty courses list","LMS system","Sun Dec 07 09:27:18 UTC 2025","passed","Sun Dec 07 09:27:19 UTC 2025","Courses","Courses","",""
"","1639","Check displaying of dashboard page","LMS system","Sun Dec 07 09:27:21 UTC 2025","passed","Sun Dec 07 09:27:22 UTC 2025","Dashboard","Dashboard","",""
"","1883","Create course","LMS system","Sun Dec 07 09:27:19 UTC 2025","passed","Sun Dec 07 09:27:20 UTC 2025","Courses","Courses","",""
"","1364","User login with wrong email or password","LMS system","Sun Dec 07 09:27:14 UTC 2025","passed","Sun Dec 07 09:27:15 UTC 2025","Authorization","Authentication","",""
"","1409","Registration with correct email, username and password","LMS system","Sun Dec 07 09:27:16 UTC 2025","passed","Sun Dec 07 09:27:17 UTC 2025","Registration","Authentication","",""
"","1250","Navigation from login page to registration page","LMS system","Sun Dec 07 09:27:15 UTC 2025","passed","Sun Dec 07 09:27:16 UTC 2025","Authorization","Authentication","",""
"","2610","Edit course","LMS system","Sun Dec 07 09:27:19 UTC 2025","passed","Sun Dec 07 09:27:22 UTC 2025","Courses","Courses","",""
